,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
25,Mar,3,Friday,Pontiac,Urban,Wednesday,Mar,4,Male,Married,44.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,42,15,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,1994,All Perils,1584.08867680269
26,Jul,1,Monday,Toyota,Urban,Monday,Jul,1,Female,Single,42.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,43,12,400,4.0,more than 30,more than 30,none,4 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,1462.33073523369
27,Jan,3,Tuesday,Honda,Urban,Monday,Jan,4,Male,Married,41.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,44,5,400,2.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,3876.37663279463
28,Jan,3,Wednesday,Toyota,Urban,Wednesday,Jan,4,Male,Married,72.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,45,16,400,1.0,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision,9157.70733868184
29,Feb,2,Wednesday,Pontiac,Urban,Thursday,Feb,2,Female,Married,29.0,Third Party,Sedan - All Perils,Sedan,less than 20000,0,46,8,400,3.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,9947.15647459238
30,Feb,2,Thursday,Pontiac,Urban,Monday,Feb,3,Male,Single,32.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,47,9,400,4.0,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1994,Collision,4658.42724707721
31,Nov,4,Thursday,Mazda,Urban,Friday,Nov,4,Male,Married,37.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,48,13,400,3.0,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,13736.9279243371
32,Apr,3,Friday,Pontiac,Urban,Tuesday,Apr,3,Male,Married,59.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,50,9,400,4.0,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,16456.6310582078
33,May,4,Friday,Pontiac,Urban,Friday,May,4,Male,Married,49.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,51,14,400,2.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,52494.3374219172
34,Jun,4,Wednesday,Pontiac,Urban,Friday,Jun,4,Male,Married,27.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,52,4,500,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Liability,3302.19263906462
35,Jul,3,Sunday,Honda,Rural,Wednesday,Jan,4,Male,Married,21.0,Policy Holder,Sport - Collision,Sport,more than 69000,1,53,4,400,4.0,more than 30,more than 30,none,4 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,61043.3480121366
36,Jun,4,Tuesday,Pontiac,Urban,Tuesday,Jun,4,Male,Single,45.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,55,8,400,1.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,58488.9243920724
37,Dec,3,Monday,Mazda,Urban,Wednesday,Dec,3,Male,Married,49.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,56,7,400,4.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,6290.34049415641
38,Jun,4,Friday,Honda,Urban,Thursday,Jun,5,Male,Single,30.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,57,5,400,4.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,100701.440976097
39,Nov,2,Friday,Accura,Urban,Monday,Nov,2,Male,Single,37.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,58,11,400,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,74810.309390384
40,May,1,Monday,Honda,Rural,Wednesday,May,4,Male,Single,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,59,15,400,4.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,79417.3288217744
41,May,1,Wednesday,Chevrolet,Urban,Monday,May,2,Female,Single,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,60,4,400,4.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,2878.74513406543
42,Nov,1,Monday,Toyota,Urban,Monday,Nov,3,Male,Single,30.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,61,5,400,4.0,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,4155.9877320723
43,Sep,2,Tuesday,Pontiac,Urban,Friday,Jan,4,Male,Married,49.0,Policy Holder,Utility - Collision,Utility,40000 to 59000,0,62,6,400,4.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,6238.90822766288
44,Nov,4,Sunday,Honda,Urban,Friday,Jan,3,Male,Single,0.0,Third Party,Sedan - All Perils,Sedan,more than 69000,0,63,3,400,2.0,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,77167.2232461485
45,Feb,5,Monday,Toyota,Urban,Tuesday,Mar,1,Male,Married,26.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,64,13,400,3.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability,2876.11265102375
46,Dec,1,Friday,Pontiac,Urban,Tuesday,Dec,2,Male,Single,48.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,65,1,400,1.0,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,5315.14779768608
47,Dec,4,Friday,Mazda,Urban,Monday,Jan,2,Male,Single,31.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,66,6,400,3.0,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,3174.15685889276
48,Mar,3,Friday,Mercury,Urban,Friday,Mar,3,Male,Single,40.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,67,16,400,2.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,50099.5570573993
49,Aug,4,Thursday,Mazda,Urban,Monday,Aug,5,Male,Married,65.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,68,12,400,1.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability,99812.6347876931
50,Jan,1,Sunday,Toyota,Urban,Tuesday,Jan,1,Male,Married,64.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,69,5,400,1.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,2922.35731892594
51,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Married,55.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,70,12,400,2.0,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability,8960.04326512298
52,Jan,1,Sunday,Honda,Urban,Wednesday,Jan,1,Male,Single,44.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,71,16,400,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,7292.54144233941
53,Jan,1,Tuesday,Mazda,Urban,Thursday,Jan,1,Male,Married,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,72,9,400,3.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,3188.997856986
54,Sep,4,Thursday,Chevrolet,Urban,Monday,Jan,5,Female,Single,28.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,73,5,400,3.0,15 to 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,8027.19227730757
55,Apr,5,Saturday,Mazda,Urban,Tuesday,May,1,Male,Married,60.0,Third Party,Sedan - Collision,Sedan,more than 69000,0,75,12,400,3.0,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,63535.6100346822
56,Aug,1,Saturday,Ford,Urban,Wednesday,Aug,4,Male,Married,33.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,76,9,400,4.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,12593.4143671265
57,Oct,4,Tuesday,Chevrolet,Urban,Monday,Jan,1,Male,Married,27.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,77,1,400,3.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,2709.0088113366
58,Feb,2,Friday,Honda,Urban,Tuesday,Feb,3,Female,Married,47.0,Third Party,Sport - Collision,Sport,more than 69000,0,78,12,400,3.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,83871.7995055998
59,Feb,2,Friday,Jaguar,Rural,Tuesday,Feb,3,Female,Single,29.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,79,16,400,1.0,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,56479.0906568321
60,Feb,4,Saturday,Toyota,Urban,Friday,Mar,1,Female,Married,33.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,80,10,400,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,84417.6742873722
61,Jan,3,Thursday,Mazda,Urban,Friday,Jan,4,Male,Single,37.0,Third Party,Sedan - Liability,Sport,20000 to 29000,0,82,6,400,2.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,8861.97370679354
62,Nov,5,Tuesday,Toyota,Urban,Friday,Feb,1,Female,Married,44.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,84,9,400,4.0,more than 30,more than 30,none,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,2335.44650783732
63,Dec,1,Wednesday,Honda,Urban,Monday,Jan,1,Male,Single,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,85,6,400,2.0,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,58093.4197985716
64,Dec,2,Tuesday,Chevrolet,Rural,Tuesday,Mar,1,Male,Married,27.0,Policy Holder,Utility - Liability,Utility,more than 69000,0,86,4,400,4.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,50201.4284480754
65,May,4,Sunday,Mazda,Urban,Wednesday,May,4,Male,Single,39.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,88,1,400,2.0,more than 30,more than 30,2 to 4,4 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,5015.33016030941
66,Oct,5,Saturday,Pontiac,Urban,Monday,Oct,5,Male,Married,74.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,89,13,400,4.0,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,5790.73446465997
67,Oct,4,Sunday,Honda,Urban,Tuesday,Oct,4,Female,Single,25.0,Third Party,Sport - Collision,Sport,more than 69000,0,91,2,400,1.0,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision,55591.493622206
68,Jan,2,Wednesday,Pontiac,Urban,Wednesday,Jan,2,Male,Single,38.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,92,13,400,2.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,1994,Liability,20245.845800524
69,Aug,4,Saturday,Pontiac,Urban,Monday,Aug,5,Male,Married,38.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,94,13,700,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,2045.7190777478
70,May,2,Tuesday,Honda,Urban,Thursday,May,2,Male,Married,61.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,96,15,400,4.0,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision,6689.02415680872
71,Nov,2,Friday,Toyota,Urban,Tuesday,Jan,1,Male,Married,38.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,97,7,400,2.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,5097.07452390606
72,Nov,3,Monday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,41.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,99,12,400,4.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,2103.18508925209
73,Nov,3,Tuesday,Chevrolet,Urban,Wednesday,Jan,2,Male,Married,31.0,Policy Holder,Utility - All Perils,Utility,more than 69000,1,101,2,400,1.0,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,50754.8040303591
74,Jan,5,Saturday,Pontiac,Urban,Monday,Jan,5,Female,Married,35.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,102,10,400,4.0,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,7518.59161056746
75,Jan,4,Friday,Ford,Urban,Monday,Feb,1,Female,Married,37.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,103,14,500,2.0,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1994,All Perils,53404.0297019986
76,Jan,1,Thursday,Mazda,Urban,Tuesday,Jan,2,Male,Married,55.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,104,14,400,3.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,6188.48508960402
77,Jan,1,Tuesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,31.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,105,12,400,4.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,5464.35640351837
78,Aug,1,Monday,Mazda,Urban,Thursday,Aug,1,Male,Married,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,107,11,400,2.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,1671.46341601906
79,Jun,1,Thursday,Chevrolet,Urban,Thursday,Oct,4,Male,Married,47.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,109,1,400,1.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,5054.19523630365
80,May,2,Tuesday,Toyota,Urban,Friday,Sep,1,Male,Single,23.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,111,4,400,2.0,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,3536.79672385733
81,Nov,4,Thursday,Honda,Urban,Thursday,Dec,5,Male,Married,35.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,113,9,400,1.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,3058.80461760019
82,Dec,4,Monday,Chevrolet,Urban,Wednesday,Jan,1,Male,Married,50.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,115,2,400,3.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,5514.0821718031
83,Dec,2,Tuesday,Honda,Urban,Wednesday,Jan,2,Male,Single,16.0,Third Party,Sport - Collision,Sport,more than 69000,0,116,2,400,1.0,more than 30,more than 30,2 to 4,4 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,83591.4331868486
84,Aug,2,Monday,Pontiac,Urban,Tuesday,Aug,5,Male,Single,28.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,118,4,400,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,5201.18335441868
85,Nov,5,Monday,Mazda,Urban,Wednesday,Dec,1,Male,Single,68.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,119,9,400,3.0,more than 30,more than 30,2 to 4,5 years,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,1063.26295771531
86,Dec,1,Friday,Honda,Rural,Friday,Dec,3,Male,Single,0.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,120,7,400,3.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,69029.5913970599
87,Feb,1,Friday,Honda,Rural,Friday,Mar,3,Male,Single,0.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,121,8,400,3.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils,62822.3224087184
88,Jun,3,Monday,Pontiac,Urban,Monday,Jun,3,Male,Single,30.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,123,2,400,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,59263.7024344489
89,Apr,4,Tuesday,Honda,Urban,Tuesday,Apr,4,Male,Married,51.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,124,1,400,4.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,3 to 4,1994,Collision,14029.0334523622
90,Feb,2,Sunday,Toyota,Urban,Monday,Feb,2,Male,Single,22.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,125,6,400,3.0,more than 30,more than 30,none,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,1592.36990150366
91,Jan,4,Saturday,Dodge,Urban,Monday,Mar,1,Male,Married,53.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,127,15,400,2.0,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,none,4 to 8 years,2 vehicles,1994,Collision,0.0
92,Jan,4,Sunday,Chevrolet,Rural,Monday,Jan,4,Male,Married,27.0,Third Party,Sedan - Liability,Sport,30000 to 39000,0,129,9,400,3.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,Liability,11568.3272260302
93,Nov,4,Monday,Honda,Urban,Tuesday,Nov,4,Male,Single,29.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,130,14,400,3.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,767.664492706068
94,Jul,2,Friday,Pontiac,Urban,Friday,Jul,2,Male,Single,32.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,131,10,400,1.0,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,19773.0862810272
