,Make_0,Make_1,Make_2,Make_3,Make_4,MonthClaimed,WeekOfMonthClaimed,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,Age,PolicyType_0,PolicyType_1,PolicyType_2,PolicyType_3,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident_0,Days_Policy_Accident_1,Days_Policy_Accident_2,Days_Policy_Claim,PastNumberOfClaims_0,PastNumberOfClaims_1,PastNumberOfClaims_2,AgeOfVehicle,NumberOfSuppliments_0,NumberOfSuppliments_1,NumberOfSuppliments_2,AddressChange_Claim,NumberOfCars,Year,ClaimSize,AccidentArea_Urban,Sex_Male,Fault_Third Party,PoliceReportFiled_Yes,WitnessPresent_Yes,AgentType_Internal
23,0,0,0,1,1,8,3,0,0,1,27.0,0,1,0,1,2,0,400,2.0,0,0,1,2,0,0,1,6,0,1,0,0,0,1994,3124.07994799738,1,1,0,0,0,0
24,0,0,1,0,1,3,1,0,1,0,35.0,0,1,0,1,1,0,400,1.0,0,0,1,2,0,1,1,5,0,1,0,0,0,1994,2714.29004930399,1,0,0,0,0,0
25,0,0,1,1,0,2,4,0,1,0,44.0,0,1,0,0,1,0,400,1.0,0,0,1,2,0,1,1,6,1,0,0,0,2,1994,1584.08867680269,1,1,0,0,0,0
26,0,0,0,1,0,6,1,0,0,1,42.0,0,0,1,1,1,0,400,4.0,0,0,1,2,0,0,1,3,0,0,1,4,1,1994,1462.33073523369,1,0,0,0,0,0
27,0,0,0,0,1,0,4,0,1,0,41.0,0,1,0,1,1,0,400,2.0,0,0,1,2,0,1,1,6,0,1,1,0,0,1994,3876.37663279463,1,1,0,0,0,0
28,0,0,0,1,0,0,4,0,1,0,72.0,0,1,0,1,1,0,400,1.0,0,0,1,2,0,0,1,7,0,0,1,0,0,1994,9157.70733868184,1,1,1,0,0,0
29,0,0,1,1,0,1,2,0,1,0,29.0,0,1,0,0,0,0,400,3.0,0,0,1,2,0,1,1,4,0,0,1,0,0,1994,9947.15647459238,1,0,1,0,0,0
30,0,0,1,1,0,1,3,0,0,1,32.0,0,1,0,1,2,0,400,4.0,0,0,1,2,0,0,1,5,0,0,1,0,0,1994,4658.42724707721,1,1,1,0,0,1
31,0,0,0,1,1,10,4,0,1,0,37.0,0,0,1,1,2,0,400,3.0,0,0,1,2,0,1,1,4,0,1,0,0,0,1994,13736.9279243371,1,1,0,0,0,0
32,0,0,1,1,0,3,3,0,1,0,59.0,0,1,0,1,1,0,400,4.0,0,0,1,2,1,0,0,7,1,0,0,0,0,1994,16456.6310582078,1,1,0,0,0,0
33,0,0,1,1,0,4,4,0,1,0,49.0,0,0,1,1,2,0,400,2.0,0,0,1,2,1,0,0,7,0,0,1,0,0,1994,52494.3374219172,1,1,0,0,0,0
34,0,0,1,1,0,5,4,0,1,0,27.0,0,0,1,1,1,0,500,3.0,0,0,1,2,0,1,1,5,1,0,0,3,0,1994,3302.19263906462,1,1,0,0,0,0
35,0,0,0,0,1,0,4,0,1,0,21.0,0,0,1,0,5,1,400,4.0,0,0,1,2,0,0,1,3,1,0,0,0,0,1994,61043.3480121366,0,1,0,0,0,0
36,0,0,1,1,0,5,4,0,0,1,45.0,0,1,0,1,2,0,400,1.0,0,0,1,2,0,1,0,6,0,1,1,0,0,1994,58488.9243920724,1,1,0,0,0,0
37,0,0,0,1,1,11,3,0,1,0,49.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,0,1,7,1,0,0,0,0,1994,6290.34049415641,1,1,1,0,0,0
38,0,0,0,0,1,5,5,0,0,1,30.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,1,1,5,0,0,1,0,0,1994,100701.440976097,1,1,0,0,0,0
39,0,1,0,0,0,10,2,0,0,1,37.0,0,1,0,1,5,0,400,3.0,0,0,1,2,0,1,1,6,0,0,1,0,0,1994,74810.309390384,1,1,0,0,0,0
40,0,0,0,0,1,4,4,0,0,1,0.0,0,0,1,1,5,0,400,4.0,0,0,1,2,0,0,1,0,0,0,1,0,0,1994,79417.3288217744,0,1,0,0,0,0
41,0,0,1,0,1,4,2,0,0,1,27.0,0,1,0,1,1,0,400,4.0,0,0,1,2,0,0,1,5,0,1,1,0,0,1994,2878.74513406543,1,0,0,0,0,0
42,0,0,0,1,0,10,3,0,0,1,30.0,0,1,0,0,2,0,400,4.0,0,0,1,2,0,0,1,4,0,0,1,0,0,1994,4155.9877320723,1,1,0,0,0,0
43,0,0,1,1,0,0,4,0,1,0,49.0,0,1,1,0,3,0,400,4.0,0,0,1,2,0,0,1,7,0,0,1,0,0,1994,6238.90822766288,1,1,0,0,0,0
44,0,0,0,0,1,0,3,0,0,1,0.0,0,1,0,0,5,0,400,2.0,0,0,1,2,0,1,1,0,0,0,1,0,0,1994,77167.2232461485,1,1,1,0,0,0
45,0,0,0,1,0,2,1,0,1,0,26.0,0,0,1,1,1,0,400,3.0,0,0,1,2,0,1,1,6,0,1,0,4,1,1994,2876.11265102375,1,1,0,0,0,0
46,0,0,1,1,0,11,2,0,0,1,48.0,0,1,0,1,1,0,400,1.0,0,0,1,2,0,0,1,6,0,0,1,0,0,1994,5315.14779768608,1,1,0,0,0,0
47,0,0,0,1,1,0,2,0,0,1,31.0,0,1,0,0,1,0,400,3.0,0,0,1,2,0,0,1,6,0,0,1,0,0,1994,3174.15685889276,1,1,0,0,0,0
48,0,1,0,0,1,2,3,0,0,1,40.0,0,1,0,1,5,0,400,2.0,0,0,1,2,0,1,0,6,0,1,0,0,0,1994,50099.5570573993,1,1,1,0,0,0
49,0,0,0,1,1,7,5,0,1,0,65.0,0,0,1,1,2,0,400,1.0,0,0,1,2,0,1,1,7,0,1,0,0,0,1994,99812.6347876931,1,1,0,0,0,0
50,0,0,0,1,0,0,1,0,1,0,64.0,0,1,0,1,1,0,400,1.0,0,0,1,2,0,1,0,7,0,0,1,0,0,1994,2922.35731892594,1,1,0,0,0,0
51,0,0,0,0,1,0,1,0,1,0,55.0,0,0,1,1,1,0,400,2.0,0,0,1,2,0,1,1,6,0,1,0,0,0,1994,8960.04326512298,1,1,0,0,0,0
52,0,0,0,0,1,0,1,0,0,1,44.0,0,1,0,1,1,0,400,1.0,0,0,1,2,0,1,1,6,1,0,0,0,0,1994,7292.54144233941,1,1,0,0,0,0
53,0,0,0,1,1,0,1,0,1,0,27.0,0,1,0,1,1,0,400,3.0,0,0,1,2,0,1,0,5,0,1,1,0,0,1994,3188.997856986,1,1,0,0,0,0
54,0,0,1,0,1,0,5,0,0,1,28.0,0,1,0,1,1,0,400,3.0,0,1,0,2,0,1,0,4,0,0,1,0,0,1994,8027.19227730757,1,0,1,0,0,0
55,0,0,0,1,1,4,1,0,1,0,60.0,0,1,0,1,5,0,400,3.0,0,0,1,2,1,0,0,6,0,1,0,0,0,1994,63535.6100346822,1,1,1,0,0,0
56,0,0,1,0,0,7,4,0,1,0,33.0,0,1,0,1,2,0,400,4.0,0,0,1,2,1,0,0,5,0,0,1,0,0,1994,12593.4143671265,1,1,1,0,0,0
57,0,0,1,0,1,0,1,0,1,0,27.0,0,1,0,0,1,0,400,3.0,0,0,1,2,0,0,1,5,0,0,1,0,0,1994,2709.0088113366,1,1,1,0,0,0
58,0,0,0,0,1,1,3,0,1,0,47.0,0,0,1,0,5,0,400,3.0,0,0,1,2,0,0,1,7,0,0,1,0,0,1994,83871.7995055998,1,0,1,0,0,0
59,0,1,0,1,0,1,3,0,0,1,29.0,0,0,1,1,2,0,400,1.0,0,0,1,2,0,1,1,4,1,0,0,0,0,1994,56479.0906568321,0,0,0,0,0,0
60,0,0,0,1,0,2,1,0,1,0,33.0,0,1,0,1,2,0,400,1.0,0,0,1,2,0,1,1,6,0,1,0,0,0,1994,84417.6742873722,1,0,1,0,0,0
61,0,0,0,1,1,0,4,0,0,1,37.0,0,0,1,1,1,0,400,2.0,0,0,1,2,0,1,0,6,0,0,1,0,0,1994,8861.97370679354,1,1,1,0,0,0
62,0,0,0,1,0,1,1,0,1,0,44.0,0,0,1,1,1,0,400,4.0,0,0,1,2,0,0,1,5,0,1,1,0,0,1994,2335.44650783732,1,0,0,0,0,0
63,0,0,0,0,1,0,1,0,0,1,0.0,0,0,1,1,5,0,400,2.0,0,0,1,2,1,0,0,0,0,0,1,4,1,1994,58093.4197985716,1,1,0,0,0,0
64,0,0,1,0,1,2,1,0,1,0,27.0,0,1,1,1,5,0,400,4.0,0,0,1,2,0,1,0,5,0,1,0,0,0,1994,50201.4284480754,0,1,0,0,0,0
65,0,0,0,1,1,4,4,0,0,1,39.0,0,1,0,0,1,0,400,2.0,0,0,1,2,0,1,1,3,0,1,0,0,0,1994,5015.33016030941,1,1,1,0,0,0
66,0,0,1,1,0,9,5,0,1,0,74.0,0,1,0,0,2,0,400,4.0,0,0,1,2,0,0,1,6,1,0,0,0,0,1994,5790.73446465997,1,1,1,0,0,0
67,0,0,0,0,1,9,4,0,0,1,25.0,0,0,1,0,5,0,400,1.0,0,0,1,2,0,0,1,5,0,1,0,0,0,1994,55591.493622206,1,0,1,0,0,0
68,0,0,1,1,0,0,2,0,0,1,38.0,0,0,1,1,1,0,400,2.0,0,0,1,2,1,0,0,6,1,0,0,2,0,1994,20245.845800524,1,1,0,0,0,0
69,0,0,1,1,0,7,5,0,1,0,38.0,0,1,0,1,1,0,700,3.0,0,0,1,2,0,1,1,6,0,1,0,0,0,1994,2045.7190777478,1,1,0,0,0,0
70,0,0,0,0,1,4,2,0,1,0,61.0,0,1,0,1,2,0,400,4.0,0,0,1,2,0,0,1,7,0,1,0,0,0,1994,6689.02415680872,1,1,1,0,0,0
71,0,0,0,1,0,0,1,0,1,0,38.0,0,1,0,1,1,1,400,2.0,0,0,1,2,0,1,0,6,0,0,1,0,0,1994,5097.07452390606,1,1,0,0,0,0
72,0,0,1,1,0,0,4,0,1,0,41.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,1,1,6,0,0,1,0,0,1994,2103.18508925209,1,1,1,0,0,0
73,0,0,1,0,1,0,2,0,1,0,31.0,1,0,0,0,5,1,400,1.0,0,0,1,2,1,0,0,6,0,1,0,0,0,1994,50754.8040303591,1,1,0,0,0,0
74,0,0,1,1,0,0,5,0,1,0,35.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,1,0,5,0,0,1,0,0,1994,7518.59161056746,1,0,1,0,0,0
75,0,0,1,0,0,1,1,0,1,0,37.0,0,1,0,0,5,0,500,2.0,0,0,1,2,0,1,1,5,1,0,0,0,0,1994,53404.0297019986,1,0,0,1,0,0
76,0,0,0,1,1,0,2,0,1,0,55.0,0,1,0,0,1,0,400,3.0,0,0,1,2,0,0,1,7,0,1,0,0,0,1994,6188.48508960402,1,1,0,0,0,0
77,0,0,1,1,0,0,1,0,0,1,31.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,1,1,6,0,1,1,0,0,1994,5464.35640351837,1,1,1,0,0,0
78,0,0,0,1,1,7,1,0,1,0,28.0,0,1,0,1,1,0,400,2.0,0,0,1,2,0,1,1,6,0,0,1,0,0,1994,1671.46341601906,1,1,0,0,0,0
79,0,0,1,0,1,9,4,0,1,0,47.0,0,1,0,0,1,0,400,1.0,0,0,1,2,0,1,0,7,0,0,1,0,0,1994,5054.19523630365,1,1,0,0,0,0
80,0,0,0,1,0,8,1,0,0,1,23.0,0,1,0,1,1,0,400,2.0,0,0,1,2,0,1,1,4,0,0,1,0,0,1994,3536.79672385733,1,1,0,0,0,0
81,0,0,0,0,1,11,5,0,1,0,35.0,0,1,0,0,1,0,400,1.0,0,0,1,2,0,0,1,5,0,0,1,0,0,1994,3058.80461760019,1,1,1,0,0,0
82,0,0,1,0,1,0,1,0,1,0,50.0,0,1,0,1,1,0,400,3.0,0,0,1,2,0,1,0,7,0,1,0,0,0,1994,5514.0821718031,1,1,1,0,0,0
83,0,0,0,0,1,0,2,0,0,1,16.0,0,0,1,0,5,0,400,1.0,0,0,1,2,0,1,1,3,1,0,0,0,0,1994,83591.4331868486,1,1,1,0,0,0
84,0,0,1,1,0,7,5,0,0,1,28.0,0,0,1,1,1,0,400,3.0,0,0,1,2,0,1,1,5,1,0,0,0,0,1994,5201.18335441868,1,1,0,0,0,0
85,0,0,0,1,1,11,1,0,0,1,68.0,0,1,0,0,1,1,400,3.0,0,0,1,2,0,1,1,4,0,0,1,0,0,1994,1063.26295771531,1,1,0,0,0,0
86,0,0,0,0,1,11,3,0,0,1,0.0,0,1,0,0,5,1,400,3.0,0,0,1,2,0,0,1,0,0,0,1,0,0,1994,69029.5913970599,0,1,0,0,0,0
87,0,0,0,0,1,2,3,0,0,1,0.0,0,1,0,0,5,0,400,3.0,0,0,1,2,0,0,1,0,0,0,1,0,0,1994,62822.3224087184,0,1,0,0,0,0
88,0,0,1,1,0,5,3,0,0,1,30.0,0,1,0,1,5,0,400,1.0,0,0,1,2,1,0,0,5,0,1,1,0,0,1994,59263.7024344489,1,1,0,0,0,0
89,0,0,0,0,1,3,4,0,1,0,51.0,0,1,0,1,1,0,400,4.0,0,0,1,2,1,0,0,7,0,0,1,0,2,1994,14029.0334523622,1,1,0,0,0,0
90,0,0,0,1,0,1,2,0,0,1,22.0,0,1,0,0,2,0,400,3.0,0,0,1,2,0,0,1,5,1,0,0,0,0,1994,1592.36990150366,1,1,1,0,0,0
91,0,0,1,1,1,2,1,0,1,0,53.0,0,1,0,1,2,0,400,2.0,0,0,1,2,0,0,1,7,0,0,1,4,1,1994,0.0,1,1,0,1,0,0
92,0,0,1,0,1,0,4,0,1,0,27.0,0,0,1,1,2,0,400,3.0,0,0,1,2,1,0,0,5,0,0,1,0,0,1994,11568.3272260302,0,1,1,0,1,0
93,0,0,0,0,1,10,4,0,0,1,29.0,0,1,0,1,1,0,400,3.0,0,0,1,2,0,1,1,6,1,0,0,0,0,1994,767.664492706068,1,1,0,0,0,0
94,0,0,1,1,0,6,2,0,0,1,32.0,0,1,0,1,1,0,400,1.0,0,0,1,2,1,0,0,4,0,1,0,0,0,1994,19773.0862810272,1,1,0,0,0,0
95,0,0,0,0,1,3,4,0,0,1,18.0,0,1,0,1,1,0,400,3.0,0,0,1,2,0,0,1,2,0,1,0,0,0,1994,8606.04253787013,1,1,1,0,0,0
96,0,0,1,1,0,9,4,0,1,0,60.0,0,1,0,1,1,0,400,4.0,0,0,1,2,0,1,1,7,0,1,1,0,0,1994,9195.6689726381,1,1,1,0,0,0
97,0,0,0,1,0,2,4,0,1,0,41.0,0,1,0,1,1,0,400,4.0,0,0,1,2,0,1,0,6,0,1,0,0,0,1994,4191.31694249056,1,1,1,0,0,0
98,0,0,0,1,0,2,1,0,1,0,29.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,0,1,6,0,1,0,0,0,1994,6061.06981961005,1,1,0,0,0,0
99,0,1,0,0,1,0,1,0,1,0,42.0,0,1,0,0,1,0,400,2.0,0,0,1,2,1,0,0,6,0,0,1,0,0,1994,13980.7120145997,1,1,0,0,0,0
100,0,0,1,1,0,6,1,0,1,0,32.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,1,0,5,1,0,0,0,0,1994,1916.43587444163,1,1,0,0,0,0
101,0,0,1,0,1,2,1,0,1,0,52.0,0,0,1,1,1,0,400,4.0,0,0,1,2,0,0,1,7,1,0,0,0,3,1994,6387.33252839183,1,1,0,0,0,1
102,0,0,0,1,0,1,3,0,1,0,61.0,0,1,0,1,1,0,400,2.0,0,0,1,2,0,1,1,7,0,0,1,0,0,1994,2670.71161098707,1,1,0,0,0,0
103,0,0,0,1,1,10,1,0,1,0,41.0,0,1,0,0,2,0,400,1.0,0,0,1,2,0,0,1,6,0,0,1,0,0,1994,5109.10719680292,1,1,0,0,0,0
104,0,0,0,1,0,4,3,0,1,0,39.0,0,1,0,0,2,1,400,3.0,0,0,1,2,0,0,1,7,0,1,0,1,1,1994,9595.95393765957,0,1,0,0,0,0
105,0,0,1,1,0,0,2,0,1,0,31.0,0,1,0,1,1,0,400,1.0,0,0,1,2,0,1,1,6,0,1,0,0,0,1994,5160.08469190022,1,0,1,0,0,0
106,0,0,1,1,0,0,2,0,0,1,23.0,0,0,1,1,2,0,400,4.0,0,0,1,2,1,0,0,4,1,0,0,0,0,1994,12084.1993772337,1,1,0,0,0,0
107,0,0,1,1,0,0,2,0,0,1,31.0,0,0,1,1,2,0,400,3.0,0,0,1,2,0,1,0,6,0,1,1,0,0,1994,26381.0364584074,1,1,1,0,0,0
108,0,0,0,0,1,9,1,0,1,0,50.0,0,1,0,0,1,0,500,3.0,0,0,1,2,0,1,1,6,0,1,0,3,0,1994,4633.07688663585,1,1,1,0,0,0
109,0,0,0,0,1,0,5,0,0,1,33.0,0,0,1,1,1,0,400,3.0,0,0,1,2,0,1,1,5,0,0,1,0,0,1994,5367.87801063815,1,0,1,0,0,0
110,0,1,0,0,0,1,1,0,1,0,30.0,0,0,1,1,2,0,400,2.0,0,0,1,2,1,0,0,5,1,0,0,0,0,1994,69032.4975191079,1,1,0,0,0,0
111,0,0,0,1,1,1,1,0,1,0,44.0,0,1,0,1,3,0,400,1.0,0,0,1,2,1,0,0,7,0,0,1,0,0,1994,80176.9989522525,1,1,0,0,0,0
112,0,0,1,0,1,1,4,0,1,0,46.0,0,1,0,0,5,0,400,2.0,0,0,1,2,0,1,0,6,0,1,0,0,0,1994,51208.1874406152,1,1,0,0,0,0
113,0,0,0,0,1,1,1,0,0,1,31.0,0,0,1,1,1,0,400,4.0,0,0,1,2,0,1,1,5,1,0,0,0,0,1994,7730.29591404469,1,1,0,0,0,0
114,0,0,0,0,1,0,5,0,1,0,48.0,0,0,1,1,1,0,400,3.0,0,0,1,2,0,1,1,7,0,0,1,0,0,1994,8696.48386951635,1,1,0,0,0,0
115,0,0,1,0,1,0,2,0,1,0,33.0,0,1,0,0,5,1,400,3.0,0,0,1,2,0,0,1,5,0,0,1,0,0,1994,51335.8290596568,1,1,0,0,0,0
116,0,0,0,0,1,0,4,0,0,1,0.0,0,0,1,1,5,0,400,1.0,0,0,1,2,0,1,1,0,0,0,1,0,0,1994,51707.8402155283,1,1,0,0,0,0
117,0,0,1,0,1,0,4,0,0,1,37.0,0,0,1,1,5,0,400,3.0,0,0,1,2,0,1,0,6,0,1,1,0,0,1994,64586.618621288,1,0,1,0,0,0
118,0,0,0,1,0,0,4,0,1,0,43.0,0,1,0,0,0,0,400,3.0,0,0,1,2,0,0,1,6,0,0,1,0,0,1994,3241.70225610438,1,1,1,0,0,0
119,0,0,0,1,0,0,4,0,1,0,32.0,0,1,0,1,2,0,400,1.0,0,0,1,2,1,0,0,3,0,1,1,0,2,1994,50943.2755097315,1,0,1,0,0,0
120,0,0,0,1,0,0,2,0,1,0,57.0,0,0,1,1,1,0,400,1.0,0,0,1,2,0,1,1,7,1,0,0,0,0,1994,7438.40408974705,1,1,0,0,0,0
121,0,0,0,1,0,9,2,0,0,1,27.0,0,1,0,1,1,0,400,4.0,0,0,1,2,0,0,1,5,0,1,1,0,0,1994,1203.36165898769,1,0,0,0,0,0
122,0,1,0,1,1,6,2,0,1,0,42.0,1,0,0,0,5,0,400,4.0,0,0,1,2,0,1,1,7,0,0,1,4,1,1994,82440.2083670953,0,1,0,0,0,0
123,0,0,0,0,1,4,4,0,1,0,57.0,0,0,1,1,1,0,400,1.0,0,0,1,2,0,1,1,7,0,1,0,0,0,1994,1349.53206812525,1,1,0,0,0,0
124,0,0,1,1,0,2,5,0,0,1,32.0,0,1,0,0,1,0,400,3.0,0,0,1,2,0,0,1,6,0,1,0,0,0,1994,4941.67528436364,1,1,0,0,0,0
125,0,1,1,0,0,1,4,0,1,0,36.0,0,1,0,1,2,0,400,4.0,0,0,1,2,0,0,1,6,0,0,1,0,0,1994,1680.05813645407,1,1,0,0,0,0
126,0,0,0,0,1,1,2,0,0,1,32.0,0,1,0,0,0,0,400,1.0,0,0,1,2,0,1,0,5,0,1,1,0,0,1994,2788.4146197906,1,0,0,0,0,0
127,0,0,1,0,1,1,2,0,0,1,33.0,0,1,0,0,1,0,400,2.0,0,0,1,2,0,0,1,5,0,0,1,0,0,1994,0.0,1,1,0,0,0,0
128,0,1,1,0,1,1,2,0,1,0,37.0,0,1,0,0,2,0,400,2.0,0,0,1,2,0,1,1,7,1,0,0,0,0,1994,52942.992707335,1,1,0,0,0,0
129,0,0,0,0,1,1,1,0,0,1,26.0,0,0,1,1,1,0,400,3.0,0,0,1,2,1,0,0,5,0,1,0,0,0,1994,13290.6464902749,1,0,0,0,0,0
130,0,0,1,0,1,0,3,0,1,0,53.0,0,1,0,0,1,0,400,1.0,0,0,1,2,0,1,0,7,0,1,1,0,0,1994,3069.55522767469,1,1,0,0,0,0
131,0,1,0,0,1,0,3,0,1,0,53.0,0,1,0,0,1,0,400,3.0,0,0,1,2,0,1,0,7,0,0,1,0,0,1994,2458.71794045361,0,1,1,0,0,0
132,0,0,1,0,0,0,3,0,1,0,74.0,0,1,0,0,0,0,400,4.0,0,0,1,2,0,1,1,7,0,1,1,0,0,1994,7897.53277459034,1,1,0,0,0,0
133,0,0,1,1,0,6,4,0,1,0,50.0,0,1,0,1,1,0,400,2.0,0,0,1,2,0,1,0,6,0,0,1,0,0,1994,8461.49404753265,1,1,0,0,0,0
134,0,0,0,1,1,5,2,0,0,1,27.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,0,1,5,0,0,1,2,0,1994,3601.50438180036,1,1,1,0,0,0
135,0,0,0,1,0,1,1,0,1,0,48.0,0,1,0,0,1,0,400,1.0,0,0,1,2,1,0,0,7,0,1,0,0,0,1994,39437.2124316783,1,1,1,0,0,0
136,0,0,1,0,1,0,1,0,0,1,55.0,0,1,0,0,1,0,400,2.0,0,0,1,2,0,0,1,6,1,0,0,0,0,1994,8960.65759254679,1,0,1,0,0,0
137,0,0,1,1,0,0,1,0,1,0,48.0,0,1,0,0,1,0,400,4.0,0,0,1,2,0,0,1,7,0,1,0,0,0,1994,1516.57059757309,1,1,0,0,0,0
138,0,0,0,0,1,0,2,0,0,1,0.0,0,0,1,1,5,0,400,4.0,0,0,1,2,0,1,1,0,0,0,1,0,0,1994,73450.6398447983,1,1,1,0,0,0
139,0,0,1,1,0,0,2,0,1,0,54.0,0,0,1,1,1,0,400,4.0,0,0,1,2,0,1,0,6,0,0,1,0,0,1994,7095.7333781378,1,1,1,0,0,0
140,0,0,0,1,1,0,1,0,1,0,43.0,0,1,0,0,2,1,400,2.0,0,0,1,2,0,1,1,7,0,0,1,4,1,1994,50130.9994560353,1,1,0,0,0,0
141,0,0,0,1,1,0,1,0,1,0,41.0,0,1,0,1,2,0,400,4.0,0,0,1,2,0,0,1,7,1,0,0,0,0,1994,5341.58522779065,1,1,0,0,0,0
